temp,atemp,hum,windspeed
0.680833,0.637646,0.770417,0.171025
0.733333,0.693829,0.7075,0.172262
0.728333,0.693833,0.703333,0.238804
0.724167,0.656583,0.573333,0.222025
0.695,0.643313,0.483333,0.209571
0.68,0.637629,0.513333,0.0945333
0.6825,0.637004,0.658333,0.107588
0.744167,0.692558,0.634167,0.144283
0.728333,0.654688,0.497917,0.261821
0.696667,0.637008,0.434167,0.185312
0.7225,0.652162,0.39625,0.102608
0.738333,0.667308,0.444583,0.115062
0.716667,0.668575,0.6825,0.228858
0.726667,0.665417,0.637917,0.0814792
0.746667,0.696338,0.590417,0.126258
0.72,0.685633,0.743333,0.149883
0.75,0.686871,0.65125,0.1592
0.709167,0.670483,0.757917,0.225129
0.733333,0.664158,0.609167,0.167912
0.7475,0.690025,0.578333,0.183471
0.7625,0.729804,0.635833,0.282337
0.794167,0.739275,0.559167,0.200254
0.746667,0.689404,0.631667,0.146133
0.680833,0.635104,0.47625,0.240667
0.663333,0.624371,0.59125,0.182833
0.686667,0.638263,0.585,0.208342
0.719167,0.669833,0.604167,0.245033
0.746667,0.703925,0.65125,0.215804
0.776667,0.747479,0.650417,0.1306
0.768333,0.74685,0.707083,0.113817
0.815,0.826371,0.69125,0.222021
0.848333,0.840896,0.580417,0.1331
0.849167,0.804287,0.5,0.131221
0.83,0.794829,0.550833,0.169171
0.743333,0.720958,0.757083,0.0908083
0.771667,0.696979,0.540833,0.200258
0.775,0.690667,0.402917,0.183463
0.779167,0.7399,0.583333,0.178479
0.838333,0.785967,0.5425,0.174138
0.804167,0.728537,0.465833,0.168537
0.805833,0.729796,0.480833,0.164813
0.771667,0.703292,0.550833,0.156717
0.783333,0.707071,0.49125,0.20585
0.731667,0.679937,0.6575,0.135583
0.71,0.664788,0.7575,0.19715
0.710833,0.656567,0.630833,0.184696
0.716667,0.676154,0.755,0.22825
0.7425,0.715292,0.752917,0.201487
0.765,0.703283,0.592083,0.192175
0.775,0.724121,0.570417,0.151121
0.766667,0.684983,0.424167,0.200258
0.7175,0.651521,0.42375,0.164796
0.708333,0.654042,0.415,0.125621
0.685833,0.645858,0.729583,0.211454
