temp,atemp,hum,windspeed
0.609167,0.522125,0.9725,0.0783667
0.606667,0.564412,0.8625,0.0783833
0.634167,0.572637,0.845,0.0503792
0.649167,0.589042,0.848333,0.1107
0.636667,0.574525,0.885417,0.118171
0.635,0.575158,0.84875,0.148629
0.616667,0.574512,0.699167,0.172883
0.564167,0.544829,0.6475,0.206475
0.41,0.412863,0.75375,0.292296
0.356667,0.345317,0.791667,0.222013
0.384167,0.392046,0.760833,0.0833458
0.484167,0.472858,0.71,0.205854
0.538333,0.527138,0.647917,0.17725
0.494167,0.480425,0.620833,0.134954
0.510833,0.504404,0.684167,0.0223917
0.521667,0.513242,0.70125,0.0454042
0.540833,0.523983,0.7275,0.06345
0.570833,0.542925,0.73375,0.0423042
0.566667,0.546096,0.80875,0.143042
0.543333,0.517717,0.90625,0.24815
0.589167,0.551804,0.896667,0.141787
0.550833,0.529675,0.71625,0.223883
0.506667,0.498725,0.483333,0.258083
0.511667,0.503154,0.486667,0.281717
0.534167,0.510725,0.579583,0.175379
0.5325,0.522721,0.701667,0.110087
0.541739,0.513848,0.895217,0.243339
0.475833,0.466525,0.63625,0.422275
0.4275,0.423596,0.574167,0.221396
0.4225,0.425492,0.629167,0.0926667
0.421667,0.422333,0.74125,0.0995125
0.463333,0.457067,0.772083,0.118792
0.471667,0.463375,0.622917,0.166658
0.484167,0.472846,0.720417,0.148642
0.47,0.457046,0.812917,0.197763
0.330833,0.318812,0.585833,0.229479
0.254167,0.227913,0.8825,0.351371
0.319167,0.321329,0.62375,0.176617
0.34,0.356063,0.703333,0.10635
0.400833,0.397088,0.68375,0.135571
0.3775,0.390133,0.71875,0.0820917
0.408333,0.405921,0.702083,0.136817
0.403333,0.403392,0.6225,0.271779
0.326667,0.323854,0.519167,0.189062
0.348333,0.362358,0.734583,0.0920542
0.395,0.400871,0.75875,0.057225
0.408333,0.412246,0.721667,0.0690375
0.4,0.409079,0.758333,0.0621958
0.38,0.373721,0.813333,0.189067
0.324167,0.306817,0.44625,0.314675
0.356667,0.357942,0.552917,0.212062
0.440833,0.43055,0.458333,0.281721
0.53,0.524612,0.587083,0.306596
0.53,0.507579,0.68875,0.199633
0.456667,0.451988,0.93,0.136829
0.341667,0.323221,0.575833,0.305362
0.274167,0.272721,0.41,0.168533
0.329167,0.324483,0.502083,0.224496
0.463333,0.457058,0.684583,0.18595
0.4475,0.445062,0.91,0.138054
0.416667,0.421696,0.9625,0.118792
0.440833,0.430537,0.757917,0.335825
0.373333,0.372471,0.549167,0.167304
0.375,0.380671,0.64375,0.0988958
0.375833,0.385087,0.681667,0.0684208
0.459167,0.4558,0.698333,0.208954
0.503478,0.490122,0.743043,0.142122
0.458333,0.451375,0.830833,0.258092
0.325,0.311221,0.613333,0.271158
0.3125,0.305554,0.524583,0.220158
0.314167,0.331433,0.625833,0.100754
